player,m1r,m1b,m2r,m2b,m3r,m3b,m4r,m4b,m5r,m5b,m6r,m6b,m7r,m7b,m8r,m8b,m9r,m9b,m10r,m10b
KD Karthik,48.0,29.0,1.0,4.0,3.0,3.0,58.0,46.0,2.0,9.0,29.0,26.0,65.0,36.0,35.0,23.0,40.0,29.0,0.0,1.0
CA Lynn,93.0,46.0,32.0,28.0,50.0,22.0,84.0,54.0,26.0,15.0,6.0,2.0,4.0,8.0,,,,,,
N Rana,45.0,37.0,11.0,16.0,53.0,42.0,62.0,36.0,8.0,9.0,3.0,9.0,19.0,16.0,27.0,29.0,9.0,12.0,12.0,12.0
PP Chawla,2.0,6.0,,,,,,,,,,,,,,,,,,
RV Uthappa,4.0,2.0,72.0,48.0,11.0,9.0,87.0,49.0,59.0,33.0,53.0,28.0,0.0,1.0,2.0,4.0,1.0,3.0,1.0,3.0
SP Narine,42.0,17.0,34.0,18.0,16.0,12.0,4.0,4.0,1.0,4.0,0.0,6.0,54.0,19.0,18.0,10.0,0.0,4.0,10.0,10.0
MG Johnson,7.0,3.0,13.0,14.0,,,,,,,,,,,,,,,,
Kuldeep Yadav,4.0,7.0,16.0,15.0,,,,,,,,,,,,,,,,
R Vinay Kumar,,,,,,,,,,,,,,,,,,,,
