player,m1r,m1o,m1w,m2r,m2o,m2w,m3r,m3o,m3w,m4r,m4o,m4w,m5r,m5o,m5w,m6r,m6o,m6w,m7r,m7o,m7w,m8r,m8o,m8w,m9r,m9o,m9w,m10r,m10o,m10w
KD Karthik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA Lynn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N Rana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP Chawla,33.0,4.0,1.0,36.0,3.0,1.0,36.0,4.0,1.0,13.0,2.0,0.0,27.0,3.0,1.0,34.0,4.0,2.0,,,,,,,,,,,,
RV Uthappa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP Narine,42.0,4.0,0.0,33.0,4.0,1.0,25.0,4.0,1.0,37.0,3.0,0.0,28.0,4.0,0.0,29.0,4.0,2.0,27.0,4.0,1.0,37.0,4.0,0.0,20.0,4.0,0.0,21.0,4.0,0.0
MG Johnson,23.0,4.0,0.0,34.0,4.0,1.0,30.0,4.0,1.0,28.0,4.0,2.0,26.0,4.0,3.0,,,,,,,,,,,,,,,
Kuldeep Yadav,35.0,4.0,1.0,23.0,4.0,1.0,29.0,3.0,0.0,33.0,4.0,2.0,31.0,4.0,2.0,27.0,4.0,0.0,43.0,4.0,0.0,35.0,4.0,1.0,34.0,3.0,2.0,25.0,3.0,1.0
R Vinay Kumar,31.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
